eez_list,trip_count,total_trips
NR,1,41622
"MH,PG",1,41622
"GL,H5,I3,I4,I5,LN,PX",1,41622
"I3,I5",1,41622
"KR,TK,WS",1,41622
"NC,SB",1,41622
"GL,H5,I4,LN,PX",1,41622
"I3,I6,IW",1,41622
JV,1,41622
"CK,FM,H4,H5",1,41622
"GL,H4,I2",1,41622
"I3,I6,IW,MH",1,41622
"I8,PG,SB",1,41622
"AU,PG,VU",1,41622
"GL,H4,H5,I5,LN,PX,TK,TV",1,41622
"I3,I4,I6,MH",1,41622
"CK,I5,I7,IW",1,41622
"AU,I3,I4,I6,I7",1,41622
"GL,H4,I4",1,41622
"I3,I4,I6,PG",1,41622
"FJ,H4,I8,PX,TV,VU",1,41622
"AU,I8,SB",1,41622
"GL,H4,I4,PX",1,41622
"I3,I4,I6,SB",1,41622
"FJ,H5",1,41622
"AS,CK,H5,PX",1,41622
"GL,H4,I8",1,41622
"H5,WS",1,41622
"CK,TK,WS",1,41622
"AS,CK,I5",1,41622
"GL,H4,LN,PX",1,41622
"HW,IW",1,41622
"FJ,H4,H5,TV",1,41622
"AS,CK,LN",1,41622
"GL,LN,PX",1,41622
"I1,I2,I3,PG",1,41622
"FJ,H4,I2,I4,TV",1,41622
"CK,H5,I4,I5,LN",1,41622
"H4,H5,I2,I4",1,41622
"I1,I2,PG",1,41622
"FM,H4,I2",1,41622
"CK,FM,I5,SB",1,41622
"H4,H5,I2,I4,I5,IW,TV",1,41622
"H5,I7,I8,IW",1,41622
"FM,H4,I2,TV",1,41622
"CK,H4,H5,I2",1,41622
"H4,H5,I2,I4,PX,TV",1,41622
"H5,I7,I9",1,41622
"FJ,MA,VU",1,41622
"CK,H4,H5,TV",1,41622
"H4,H5,I2,I7",1,41622
"H5,LN,PX,TV",1,41622
"CK,H5,LN,PY",1,41622
"FJ,I7,NF,VU",1,41622
"H4,I2,I4,I5,TV",1,41622
"H5,SB",1,41622
"CK,H4,H5,I8,TK,VU",1,41622
"FJ,I7,NZ",1,41622
"H4,I2,I4,I8",1,41622
"I2,I3,I4",1,41622
"CK,H4,H5,I8,TV",1,41622
"FJ,I7,WF",1,41622
"H4,I2,SB",1,41622
"I2,I4,I8,VU",1,41622
"CK,H5,I3,I9,MH",1,41622
"FJ,I8,TV",1,41622
"H4,I2,SB,TV",1,41622
"I2,I8,PX",1,41622
"AU,I2,I8,PG",1,41622
"FJ,MA",1,41622
"H4,I5,IW",1,41622
"H5,I4,I5,IW,PX",1,41622
"AS,CK,H5,I5,IW",1,41622
"FJ,SB,VU",1,41622
"H4,I7,TV",1,41622
"H5,I5,I7",1,41622
"AU,PG,SB",1,41622
"FM,H4",1,41622
"H4,IW",1,41622
"H5,I5,LN,PX,PY",1,41622
"CK,FM,MH",1,41622
"CK,H5,I5,JV,LN",1,41622
"H4,TK,WF,WS",1,41622
"H5,I5,PY",1,41622
"FM,I1,I2,PG",1,41622
"CK,H5,I8,VU",1,41622
"FJ,I8,SB",1,41622
"H5,I5,IW,LN,PX",1,41622
"FM,I1,TK",1,41622
"CK,I5,IW,PF",1,41622
"FJ,I8,SB,VU",1,41622
"H5,I5,JV,LN",1,41622
"FM,I2,I4",1,41622
"CK,I5,IW,WS",1,41622
"FJ,I7,I8,VU",1,41622
"H5,I5,JV,PY",1,41622
"FM,I2,I7",1,41622
"CK,WS",1,41622
"FJ,GL,H4,HB,I2,I4,TV",1,41622
"H4,HB,I2,I3,I4,I5,TV",1,41622
"FM,I2,I8,VU",1,41622
"F1,IW",1,41622
"FJ,H4,I4,PX",1,41622
"H4,HB,TV",1,41622
"FM,I2,TV",1,41622
"FJ,H4,H5",1,41622
"AU,I7,I8,NF,VU",1,41622
"H4,I2,I4,I6,IW,PX",1,41622
"FM,I4",1,41622
"FJ,H4,HB,I2,I4,TV",1,41622
"AS,H4,TK,WS",1,41622
"H4,H5,I9,TV",1,41622
"FM,I4,MH",1,41622
"GL,H4,H5,HB,I3,I4,I5,TV",1,41622
"AS,H5,TK",1,41622
"H4,H5,IW,TV",1,41622
"GL,H4,I2,TV",1,41622
"GL,H4,H5,I4,I5,LN,PX",1,41622
"AS,TK,WF",1,41622
"H4,H5,I5,IW",1,41622
"GL,H4,I3,I4,PX",1,41622
"GL,H4,HB,PX,TV",1,41622
"CK,H5,I5,IW,LN",1,41622
"H5,I3,I4,I6,I7,IW",1,41622
"GL,H4,I3,I4,TV",1,41622
"GL,H4,PX,TK,TV",1,41622
"CK,H5,I8,TK,VU",1,41622
"H4,I4,I7",1,41622
"GL,H4,I5,LN,PX",1,41622
"GL,H5,I2,LN,PX,TV",1,41622
"CK,H5,TK,WS",1,41622
"H5,HB,I3,I4,LN,PX",1,41622
"GL,H5,I2,I8,LN,PX",1,41622
"H4,H5,I4",1,41622
"FM,I2,IW,VU",1,41622
"H5,HB,I4,I5",1,41622
"GL,H5,I4,I5,JV,LN,PX",1,41622
"H4,H5,I4,I5,LN,PG,PX",1,41622
"FM,I2,NC,SB",1,41622
"H5,I1,I4,I5,IW",1,41622
"GL,H5,I4,JV,LN,PX",1,41622
"H4,H5,I5",1,41622
"FM,GU",1,41622
"H5,I2,I3,I4,I5,TV",1,41622
"GL,I2,I3,I4,PX,TV",1,41622
"H4,H5,I5,LN,PX",1,41622
"FM,I4,I5,LN,PX",1,41622
"GL,H5,I2,I5,IW,LN,PX",1,41622
"GL,IW",1,41622
"H4,H5,I2,I4,I5,TV",1,41622
"FM,MH,NR",1,41622
"GL,H5,I5,IW,LN,PX,TV",1,41622
"GL,SB,VU",1,41622
"H4,H5,I2,I4,I8,SB",1,41622
"FM,PF,PG",1,41622
"GL,H5,I5,LN,PX,TV",1,41622
