eez_list,trip_count,total_trips
"CK,H5,I8,VU",1,41614
"FJ,I8,SB",1,41614
"H5,I5,IW,LN,PX",1,41614
"FM,I1,TK",1,41614
"CK,I5,IW,PF",1,41614
"FJ,I8,SB,VU",1,41614
"H5,I5,JV,LN",1,41614
"FM,I2,I4",1,41614
"CK,I5,IW,WS",1,41614
"FJ,I7,I8,VU",1,41614
"H5,I5,JV,PY",1,41614
"FM,I2,I7",1,41614
"CK,WS",1,41614
"FJ,GL,H4,HB,I2,I4,TV",1,41614
"H4,HB,I2,I3,I4,I5,TV",1,41614
"FM,I2,I8,VU",1,41614
"F1,IW",1,41614
"FJ,H4,I4,PX",1,41614
"H4,HB,TV",1,41614
"FM,I2,TV",1,41614
"FJ,H4,H5",1,41614
"AU,I7,I8,NF,VU",1,41614
"H4,I2,I4,I6,IW,PX",1,41614
"FM,I4",1,41614
"FJ,H4,HB,I2,I4,TV",1,41614
"AS,H4,TK,WS",1,41614
"H4,H5,I9,TV",1,41614
"FM,I4,MH",1,41614
"GL,H4,H5,HB,I3,I4,I5,TV",1,41614
"AS,H5,TK",1,41614
"H4,H5,IW,TV",1,41614
"GL,H4,I2,TV",1,41614
"GL,H4,H5,I4,I5,LN,PX",1,41614
"AS,TK,WF",1,41614
"H4,H5,I5,IW",1,41614
"GL,H4,I3,I4,PX",1,41614
"GL,H4,HB,PX,TV",1,41614
"CK,H5,I5,IW,LN",1,41614
"H5,I3,I4,I6,I7,IW",1,41614
"GL,H4,I3,I4,TV",1,41614
"GL,H4,PX,TK,TV",1,41614
"CK,H5,I8,TK,VU",1,41614
"H4,I4,I7",1,41614
"GL,H4,I5,LN,PX",1,41614
"GL,H5,I2,LN,PX,TV",1,41614
"CK,H5,TK,WS",1,41614
"H5,HB,I3,I4,LN,PX",1,41614
"GL,H5,I2,I8,LN,PX",1,41614
"H4,H5,I4",1,41614
"FM,I2,IW,VU",1,41614
"H5,HB,I4,I5",1,41614
"GL,H5,I4,I5,JV,LN,PX",1,41614
"H4,H5,I4,I5,LN,PG,PX",1,41614
"FM,I2,NC,SB",1,41614
"H5,I1,I4,I5,IW",1,41614
"GL,H5,I4,JV,LN,PX",1,41614
"H4,H5,I5",1,41614
"FM,GU",1,41614
"H5,I2,I3,I4,I5,TV",1,41614
"GL,I2,I3,I4,PX,TV",1,41614
"H4,H5,I5,LN,PX",1,41614
"FM,I4,I5,LN,PX",1,41614
"GL,H5,I2,I5,IW,LN,PX",1,41614
"GL,IW",1,41614
"H4,H5,I2,I4,I5,TV",1,41614
"FM,MH,NR",1,41614
"GL,H5,I5,IW,LN,PX,TV",1,41614
"GL,SB,VU",1,41614
"H4,H5,I2,I4,I8,SB",1,41614
"FM,PF,PG",1,41614
"GL,H5,I5,LN,PX,TV",1,41614
"GL,H4,H5,HB,LN,PX",1,41614
"H4,H5,I2,I8,I9",1,41614
"GL,H4,H5,HB,I2,LN,PX,TV",1,41614
"GL,I2,PX,TK",1,41614
"GL,H4,H5,I2,I4,I5,IW,TV",1,41614
"H4,H5,I2,JV,LN,PX,TV",1,41614
"GL,H4,H5,I2,I5,I8,LN,PX",1,41614
"GL,I4,MH",1,41614
"GL,H4,H5,I4,I5,LN,TV",1,41614
"GL,I2,I8,TV,VU",1,41614
"GL,H4,H5,I2,I8,PX",1,41614
"GL,TV",1,41614
"H4,H5,I4,TV",1,41614
"GL,I2,IW,PG,SB",1,41614
"GL,H4,H5,I2,PX",1,41614
"H4,H5,HB,I2,I4,PX",1,41614
"H4,H5,I5,I6,I7,I9,IW",1,41614
"H4,I1,I2,I4,I5",1,41614
"HB,I4",1,41614
"FM,I1,I2,I3",1,41614
"H4,H5,I5,IW,PX,TK,TV",1,41614
"H4,I2,I3,I4,I8",1,41614
"H5,I9,LN,PX",1,41614
"FM,I1,PW",1,41614
"H4,H5,I5,LN,PX,TV",1,41614
"H4,H5,I8,PX,TK,TV",1,41614
"I0,I3,I4,I6,JP,MH",1,41614
"FM,I2,VU",1,41614
"H4,H5,HB,I2,I3,I4,I5,PX,TV",1,41614
"H4,H5,I9",1,41614
"I0,I3,JP,PW",1,41614
"GL,H4,HB,I2,NR,PX",1,41614
"H4,H5,HB,I2,I4,I5,TV",1,41614
"H4,I3,I4,I6,I7,IW",1,41614
"I1,I3",1,41614
"GL,H4,HB,I4,PX",1,41614
"H4,H5,I2,I4,I5,I8,SB,TV",1,41614
"H4,I3,I4,I6,TV",1,41614
"I2,I7,I8,SB",1,41614
"GL,H4,I8,PX,VU",1,41614
"H4,H5,I2,LN",1,41614
"H4,I4,PX,TV",1,41614
"I2,I8,MA,TV,VU",1,41614
"GL,H4,H5,I2,I8,LN,PX",1,41614
"H4,H5,I4,I5,IW,JP,TV",1,41614
"H4,I8",1,41614
"I2,I8,NC,SB,VU",1,41614
"GL,H4,H5,I2,LN",1,41614
"H4,H5,I4,I5,LN,PX",1,41614
"H5,I2,I5,IW,TK",1,41614
"I2,I3,I6",1,41614
"AS,H4,WS",1,41614
"I2,I3,I4,I8,SB,TV",1,41614
"H5,I3,I4,LN",1,41614
"I2,I4,I5",1,41614
"FJ,I2,SB,TV",1,41614
"I2,I4,SB",1,41614
"H5,I4,I5,I6",1,41614
"I2,I4,I5,I6,IW,SB",1,41614
"FJ,I7,MA",1,41614
"H5,I5,JV,LN,PX",1,41614
"H4,VU",1,41614
"H5,I4,PX",1,41614
"FJ,I7,TV",1,41614
"H5,I6,I7,IW",1,41614
I0,1,41614
"H5,I5,I6,IW",1,41614
"FJ,I8,TV,VU",1,41614
"I3,I4,I5,LN",1,41614
"H5,PX,TK",1,41614
"H5,I6,IW",1,41614
"FJ,NC,VU",1,41614
"I3,I4,TV",1,41614
HB,1,41614
"H4,H5,I2,TV",1,41614
"FJ,H4,I2,I8,TV",1,41614
"I2,IW,NR,SB",1,41614
"H5,I4,IW",1,41614
"H4,H5,I4,I5,I6",1,41614
"FJ,H4,I4,TV",1,41614
"I4,I5,IW,KR",1,41614
"H5,I6",1,41614
"H4,H5,I4,I5,PX",1,41614
"FJ,H4,I8",1,41614
"I5,I9",1,41614
"H5,IW",1,41614
"H4,H5,I7",1,41614
"CK,LN,PF",1,41614
"I5,IW,PX",1,41614
"I2,I3",1,41614
"H4,TO,WF,WS",1,41614
"CK,I9,PX",1,41614
"I5,LN,PF",1,41614
"I2,I4,I6,I8",1,41614
"H5,HB,I4,I5,JV,LN,PX",1,41614
"CK,GL,H4,H5,I4,I5,LN,PX",1,41614
"I5,LN,PX",1,41614
"I2,I7,I8,MA,VU",1,41614
"H5,I2,I4,I5,TV",1,41614
"CK,GL,H4,H5,I5,LN,PX,TV",1,41614
"I6,I7,IW,PF",1,41614
"I2,I7,TV,VU",1,41614
"I9,LN,PF",1,41614
"CK,H4,H5,I2,I8,TV",1,41614
"I7,IW,LN",1,41614
"I2,IW,PG,SB",1,41614
"I8,TV,VU,WF",1,41614
"CK,H4,H5,TK,VU",1,41614
"H4,I2,I4",1,41614
"I4,I5,PY",1,41614
"I6,I7,IW,PN",1,41614
"CK,H5,I9",1,41614
"H4,I2,I4,SB",1,41614
"I4,IW,LN",1,41614
"I8,MA,VU",1,41614
"CK,H5,I9,LN",1,41614
"H4,H5,MA,VU",1,41614
"I3,TV",1,41614
"I4,I6,IW,JP",1,41614
"AS,TK,WF,WS",1,41614
"H4,H5,TK",1,41614
"I4,I5,I6,LN",1,41614
"I4,TO",1,41614
"AU,I2,I8,PG,SB",1,41614
"H4,I2,PX,TK,TV",1,41614
"I7,NF,SB",1,41614
"I3,I6,PG",1,41614
"AU,I2,I8,PG,VU",1,41614
"H4,I3,I4,I6",1,41614
"I7,NF,TO,VU",1,41614
"I2,I9,SB",1,41614
"AU,I2,SB",1,41614
"H4,I8,TK",1,41614
"I7,NU,TK",1,41614
"I3,I4,I6,IW",1,41614
"AU,I7,VU",1,41614
"H4,I8,VU",1,41614
"I7,PF",1,41614
"SB,TW",1,41614
"I7,I8,MA,VU",1,41614
"H4,NU,WS",1,41614
"I6,I7,IW,NZ",1,41614
"TO,WF,WS",1,41614
"I7,I8,NC,NF,SB",1,41614
"H5,I2,I8,TV",1,41614
"I6,JP",1,41614
"LN,PF",1,41614
"I5,JV,LN,PX",1,41614
"H5,I4,NU",1,41614
"I5,PX",1,41614
"H5,I3,I4,I6",1,41614
"I6,I7,I9,IW",1,41614
"H5,I4,I5,IW,LN,PF",1,41614
"I5,IW,JV,LN",1,41614
"H5,I4,I5,JV",1,41614
"I5,I7,IW,PN",1,41614
"HW,I3,I4,I6,IW",1,41614
"I5,I6,IW,PF",1,41614
"HW,I4,I6",1,41614
KR,1,41614
"I1,I2,I7,I8",1,41614
"MH,NR",1,41614
"I1,I2,PG,SB",1,41614
"I8,PG,VU",1,41614
"I1,I3,SB",1,41614
"I9,TK,WS",1,41614
"PX,TV",1,41614
"TO,WF",1,41614
