type,vessel_flag,offset,count
LonglineLogsheet,AU,-7,59
LonglineLogsheet,AU,-6,29
LonglineLogsheet,AU,6,1
LonglineLogsheet,AU,10,1
LonglineLogsheet,AU,11,296
LonglineLogsheet,AU,12,1
LonglineLogsheet,BZ,-12,2
LonglineLogsheet,BZ,-11,253
LonglineLogsheet,BZ,-10,496
LonglineLogsheet,BZ,-9,621
LonglineLogsheet,BZ,-8,1882
LonglineLogsheet,BZ,-7,433
LonglineLogsheet,BZ,-6,3107
LonglineLogsheet,CK,-12,2325
LonglineLogsheet,CK,-11,8329
LonglineLogsheet,CK,-10,133
LonglineLogsheet,CK,9,1
LonglineLogsheet,CK,11,653
LonglineLogsheet,CK,12,97
LonglineLogsheet,CK,13,4
LonglineLogsheet,CK,14,8
LonglineLogsheet,CN,-12,4067
LonglineLogsheet,CN,-11,22847
LonglineLogsheet,CN,-10,6861
LonglineLogsheet,CN,-9,932
LonglineLogsheet,CN,-8,1768
LonglineLogsheet,CN,-7,651
LonglineLogsheet,CN,-6,144
LonglineLogsheet,CN,-5,1
LonglineLogsheet,CN,9,181
LonglineLogsheet,CN,10,16492
LonglineLogsheet,CN,11,98613
LonglineLogsheet,CN,12,23775
LonglineLogsheet,CN,13,2
LonglineLogsheet,CN,14,23
LonglineLogsheet,ES,-12,67
LonglineLogsheet,ES,-11,156
LonglineLogsheet,ES,12,159
LonglineLogsheet,FJ,-12,20530
LonglineLogsheet,FJ,-11,2745
LonglineLogsheet,FJ,-10,81
LonglineLogsheet,FJ,-7,82
LonglineLogsheet,FJ,-6,144
LonglineLogsheet,FJ,-5,1
LonglineLogsheet,FJ,0,5
LonglineLogsheet,FJ,1,20
LonglineLogsheet,FJ,10,16
LonglineLogsheet,FJ,11,12817
LonglineLogsheet,FJ,12,79625
LonglineLogsheet,FJ,13,128
LonglineLogsheet,FM,-12,42
LonglineLogsheet,FM,-11,10735
LonglineLogsheet,FM,-10,721
LonglineLogsheet,FM,-9,185
LonglineLogsheet,FM,-8,377
LonglineLogsheet,FM,8,1
LonglineLogsheet,FM,9,1974
LonglineLogsheet,FM,10,16439
LonglineLogsheet,FM,11,12484
LonglineLogsheet,FM,12,1148
LonglineLogsheet,FM,13,1
LonglineLogsheet,FM,14,2
LonglineLogsheet,JP,1,1
LonglineLogsheet,JP,8,7
LonglineLogsheet,JP,9,11417
LonglineLogsheet,JP,10,16971
LonglineLogsheet,JP,11,5075
LonglineLogsheet,JP,12,110
LonglineLogsheet,KI,-12,6559
LonglineLogsheet,KI,-11,29558
LonglineLogsheet,KI,-10,24070
LonglineLogsheet,KI,-9,2847
LonglineLogsheet,KI,-8,8978
LonglineLogsheet,KI,-7,2427
LonglineLogsheet,KI,-6,367
LonglineLogsheet,KI,-5,1
LonglineLogsheet,KI,1,5
LonglineLogsheet,KI,9,141
LonglineLogsheet,KI,10,3842
LonglineLogsheet,KI,11,7804
LonglineLogsheet,KI,12,8787
LonglineLogsheet,KI,13,72
LonglineLogsheet,KI,14,271
LonglineLogsheet,KR,-12,4802
LonglineLogsheet,KR,-11,3333
LonglineLogsheet,KR,-10,1071
LonglineLogsheet,KR,-9,207
LonglineLogsheet,KR,-8,66
LonglineLogsheet,KR,-7,36
LonglineLogsheet,KR,9,3
LonglineLogsheet,KR,10,502
LonglineLogsheet,KR,11,2701
LonglineLogsheet,KR,12,6406
LonglineLogsheet,LK,-7,95
LonglineLogsheet,LK,-6,178
LonglineLogsheet,MH,-11,483
LonglineLogsheet,MH,-10,4
LonglineLogsheet,MH,9,65
LonglineLogsheet,MH,10,7428
LonglineLogsheet,MH,11,51395
LonglineLogsheet,MH,12,8290
LonglineLogsheet,NC,-12,5
LonglineLogsheet,NC,10,469
LonglineLogsheet,NC,11,22430
LonglineLogsheet,NC,12,67
LonglineLogsheet,PF,-10,78631
LonglineLogsheet,PF,-9.5,1017
LonglineLogsheet,PF,-9,17793
LonglineLogsheet,PF,9,26
LonglineLogsheet,PF,10,29
LonglineLogsheet,PG,10,4096
LonglineLogsheet,PG,11,8
LonglineLogsheet,PG,12,2
LonglineLogsheet,PH,-12,23
LonglineLogsheet,PH,-11,1
LonglineLogsheet,PH,11,154
LonglineLogsheet,PH,12,191
LonglineLogsheet,PW,9,365
LonglineLogsheet,SB,-12,577
LonglineLogsheet,SB,-11,579
LonglineLogsheet,SB,-10,22
LonglineLogsheet,SB,1,11
LonglineLogsheet,SB,9,2
LonglineLogsheet,SB,10,3312
LonglineLogsheet,SB,11,45183
LonglineLogsheet,SB,12,1626
LonglineLogsheet,TO,-12,4857
LonglineLogsheet,TO,-11,609
LonglineLogsheet,TO,-10,10
LonglineLogsheet,TO,12,1
LonglineLogsheet,TO,13,831
LonglineLogsheet,TV,-12,575
LonglineLogsheet,TV,-11,3
LonglineLogsheet,TV,11,178
LonglineLogsheet,TV,12,740
LonglineLogsheet,TW,-12,9067
LonglineLogsheet,TW,-11,735
LonglineLogsheet,TW,-10,168
LonglineLogsheet,TW,-9,113
LonglineLogsheet,TW,-8,199
LonglineLogsheet,TW,-7,36
LonglineLogsheet,TW,-6,405
LonglineLogsheet,TW,1,8
LonglineLogsheet,TW,8,1
LonglineLogsheet,TW,9,14358
LonglineLogsheet,TW,10,3637
LonglineLogsheet,TW,11,19655
LonglineLogsheet,TW,12,211
LonglineLogsheet,TW,13,159
LonglineLogsheet,TW,14,2
LonglineLogsheet,US,-12,32
LonglineLogsheet,US,13,2
LonglineLogsheet,VU,-12,9240
LonglineLogsheet,VU,-11,18957
LonglineLogsheet,VU,-10,19273
LonglineLogsheet,VU,-9,11965
LonglineLogsheet,VU,-8,3762
LonglineLogsheet,VU,-7,1974
LonglineLogsheet,VU,-6,2875
LonglineLogsheet,VU,-5,14
LonglineLogsheet,VU,-2,196
LonglineLogsheet,VU,-1,133
LonglineLogsheet,VU,0,684
LonglineLogsheet,VU,1,1462
LonglineLogsheet,VU,2,23
LonglineLogsheet,VU,3,12
LonglineLogsheet,VU,4,6
LonglineLogsheet,VU,8,1
LonglineLogsheet,VU,9,1
LonglineLogsheet,VU,10,1875
LonglineLogsheet,VU,11,4948
LonglineLogsheet,VU,12,4481
LonglineLogsheet,VU,13,3
LonglineLogsheet,VU,14,4
LonglineLogsheet,WS,-12,11600
LonglineLogsheet,WS,-11,13201
LonglineLogsheet,WS,-10,2
LonglineLogsheet,WS,-1,30
LonglineLogsheet,WS,0,188
LonglineLogsheet,WS,1,398
LonglineLogsheet,WS,9,1
LonglineLogsheet,WS,10,42
LonglineLogsheet,WS,11,479
LonglineLogsheet,WS,12,24
LonglineLogsheet,WS,13,15
LonglineLogsheet,WS,14,147
PurseseineLogsheet,CK,-12,47
PurseseineLogsheet,CK,-11,688
PurseseineLogsheet,CK,-10,153
PurseseineLogsheet,CN,-12,30
PurseseineLogsheet,CN,10,64
PurseseineLogsheet,CN,11,803
PurseseineLogsheet,CN,12,500
PurseseineLogsheet,EC,-12,11
PurseseineLogsheet,EC,-11,245
PurseseineLogsheet,EC,-10,2267
PurseseineLogsheet,EC,-9,766
PurseseineLogsheet,EC,-8,411
PurseseineLogsheet,EC,-7,104
PurseseineLogsheet,EC,-6,18
PurseseineLogsheet,EC,12,3
PurseseineLogsheet,ES,-12,31
PurseseineLogsheet,ES,-11,1008
PurseseineLogsheet,ES,-10,819
PurseseineLogsheet,ES,-9,208
PurseseineLogsheet,ES,-8,41
PurseseineLogsheet,ES,-7,10
PurseseineLogsheet,ES,12,4
PurseseineLogsheet,FM,-12,3253
PurseseineLogsheet,FM,-11,2831
PurseseineLogsheet,FM,-10,204
PurseseineLogsheet,FM,9,1162
PurseseineLogsheet,FM,10,17481
PurseseineLogsheet,FM,11,17079
PurseseineLogsheet,FM,12,4779
PurseseineLogsheet,FM,13,1
PurseseineLogsheet,JP,-12,369
PurseseineLogsheet,JP,-11,165
PurseseineLogsheet,JP,-10,48
PurseseineLogsheet,JP,9,4207
PurseseineLogsheet,JP,10,16237
PurseseineLogsheet,JP,11,2492
PurseseineLogsheet,JP,12,379
PurseseineLogsheet,KI,-12,6163
PurseseineLogsheet,KI,-11,5136
PurseseineLogsheet,KI,-10,757
PurseseineLogsheet,KI,9,246
PurseseineLogsheet,KI,10,5586
PurseseineLogsheet,KI,11,23660
PurseseineLogsheet,KI,12,16255
PurseseineLogsheet,KI,13,3
PurseseineLogsheet,KI,14,1
PurseseineLogsheet,KR,-12,4377
PurseseineLogsheet,KR,-11,3781
PurseseineLogsheet,KR,-10,1234
PurseseineLogsheet,KR,9,582
PurseseineLogsheet,KR,10,15338
PurseseineLogsheet,KR,11,18267
PurseseineLogsheet,KR,12,9452
PurseseineLogsheet,KR,13,3
PurseseineLogsheet,LR,-12,71
PurseseineLogsheet,LR,-11,126
PurseseineLogsheet,LR,9,109
PurseseineLogsheet,LR,10,404
PurseseineLogsheet,LR,11,301
PurseseineLogsheet,LR,12,124
PurseseineLogsheet,MH,-12,2296
PurseseineLogsheet,MH,-11,1574
PurseseineLogsheet,MH,-10,29
PurseseineLogsheet,MH,9,89
PurseseineLogsheet,MH,10,1567
PurseseineLogsheet,MH,11,8498
PurseseineLogsheet,MH,12,4862
PurseseineLogsheet,MX,-12,2
PurseseineLogsheet,MX,-11,97
PurseseineLogsheet,NR,-12,1357
PurseseineLogsheet,NR,-11,1582
PurseseineLogsheet,NR,-10,198
PurseseineLogsheet,NR,-9,28
PurseseineLogsheet,NR,9,196
PurseseineLogsheet,NR,10,5700
PurseseineLogsheet,NR,11,13180
PurseseineLogsheet,NR,12,3317
PurseseineLogsheet,NR,14,1
PurseseineLogsheet,PA,8,45
PurseseineLogsheet,PG,-12,1307
