vessel_flag,offset_list,count,observer_trips
FJ,12,876,1068
FJ,-11,78,1068
FJ,"-11,12",24,1068
FJ,"-12,12",22,1068
FJ,-12,15,1068
FJ,"11,12",11,1068
FJ,"-10,12",10,1068
FJ,"10,12",7,1068
FJ,"-11,11",3,1068
FJ,"-11,11,12",2,1068
FJ,"-11,-10",2,1068
FJ,"-11,-10,12",2,1068
FJ,"0,12",2,1068
FJ,"9,12",2,1068
FJ,"-12,-11,12",2,1068
FJ,"-12,-9",1,1068
FJ,"-12,7,12",1,1068
FJ,"-12,-10,12",1,1068
FJ,"-11,8,12",1,1068
FJ,"8,12",1,1068
FJ,"-11,-3.5",1,1068
FJ,"-11,0,12",1,1068
FJ,"-11,0,4.5",1,1068
FJ,"-10,10,12",1,1068
FJ,"-10,11,12",1,1068
PF,-10,450,464
PF,"-11,-10",4,464
PF,"-10,-8",2,464
PF,"-10,-9",2,464
PF,"-12,-10",2,464
PF,0,1,464
PF,2,1,464
PF,"-10,0",1,464
PF,-12,1,464
MH,12,175,207
MH,11,7,207
MH,-12,5,207
MH,"-10,12",4,207
MH,"11,12",4,207
MH,"-12,12",3,207
MH,"10,12",2,207
MH,-10,1,207
MH,"0,12",1,207
MH,10,1,207
MH,"3,4",1,207
MH,4,1,207
MH,-11,1,207
MH,"-12,-11",1,207
NC,11,130,144
NC,"-11,11",4,144
NC,"10,11",3,144
NC,10,2,144
NC,12,2,144
NC,"9,10",1,144
NC,"11,12",1,144
NC,"-10,11",1,144
TW,-11,93,134
TW,11,8,134
TW,"-11,12",7,134
TW,12,5,134
TW,"-11,-10,12",3,134
TW,"-11,11",3,134
TW,"-11,-10",3,134
TW,"-11,-10,0",1,134
TW,"-11,-10,11",1,134
TW,"-10,12",1,134
TW,"-11,11,12",1,134
TW,"-11,-6",1,134
TW,"-11,10,11",1,134
TW,"-11,8",1,134
TW,"-11,9",1,134
TW,"-12,-11",1,134
TW,-13,1,134
TW,9,1,134
TW,"11,12",1,134
CN,11,43,121
CN,12,35,121
CN,"11,12",9,121
CN,-11,7,121
CN,-10,6,121
CN,"-11,11",3,121
CN,"10,11",3,121
CN,"10,11,12",2,121
CN,"-11,11,12",2,121
CN,"-11,12",2,121
CN,"-12,12",2,121
CN,10,1,121
CN,"-11,-10",1,121
CN,"-11,0",1,121
CN,"-11,6,12",1,121
CN,-12,1,121
CN,"-10,12",1,121
CN,9,1,121
TO,-11,107,119
TO,"-11,12",4,119
TO,"-11,9",2,119
TO,12,2,119
TO,9,1,119
TO,11,1,119
TO,"11,12",1,119
TO,"-11,-10,12",1,119
VU,-11,7,47
VU,12,6,47
VU,-10,4,47
VU,5,3,47
VU,-9,3,47
VU,"10,11,12",2,47
VU,"11,12",2,47
VU,"-11,-10,11,12",2,47
VU,"-11,10",1,47
VU,"-11,11,12",1,47
VU,"-12,-11,-10,10,11,12",1,47
VU,"-12,12",1,47
VU,"-13,-12",1,47
VU,"-11,-10",1,47
VU,"-11,-10,-8",1,47
VU,"-11,-10,11",1,47
VU,"-10,-9",1,47
VU,"-10,-9,-2",1,47
VU,"-10,0",1,47
VU,"-10,10",1,47
VU,"-10,12",1,47
VU,"-9,-8",1,47
VU,"-9,5",1,47
VU,10,1,47
VU,"5,11",1,47
VU,"9,12",1,47
FM,12,24,42
FM,-11,5,42
FM,"-11,-10",2,42
FM,-12,2,42
FM,11,2,42
FM,"-12,-10,-8,2",1,42
FM,-9,1,42
FM,1,1,42
FM,10,1,42
FM,"10,12",1,42
FM,"-11,12",1,42
FM,"-10,10",1,42
WS,-11,15,24
WS,12,3,24
WS,"-11,12",2,24
WS,"-11,-10",2,24
WS,"-11,11",1,24
WS,11,1,24
KI,12,8,21
KI,-10,3,21
KI,-11,3,21
KI,"-11,12",1,21
KI,"-12,-10",1,21
KI,"-12,12",1,21
KI,"-10,-7",1,21
KI,"-10,11,12",1,21
KI,"-10,12",1,21
KI,"4,5",1,21
CK,-11,5,18
CK,-10,4,18
CK,"-11,12",2,18
CK,"-12,-11",1,18
CK,"-12,11",1,18
CK,10,1,18
CK,11,1,18
CK,12,1,18
CK,"-11,-10",1,18
CK,"-11,0",1,18
SB,11,6,15
SB,12,3,15
SB,"-11,11",2,15
SB,"-12,12",1,15
SB,"10,11",1,15
SB,"11,12",1,15
SB,-11,1,15
JP,"10,11",1,3
JP,11,1,3
JP,9,1,3
TV,"-11,-10",1,2
TV,12,1,2
PG,10,1,1
US,-11,1,1
